Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
20,20,488.0,10.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,6.0,5709.9,756.9409855170717,0.0,2.0,46.2,21.606583358884958,462.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
21,21,488.0,24.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,7.0,6597.416666666668,1655.767598601842,0.0,1.0,106.625,82.24238434413667,2559.0,0.0,0.0,1,1,LC3-p62,dATG7,Torin,10Pos_3
22,22,488.0,55.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,8.0,6106.236363636363,774.1556203885137,0.0,1.0,103.49090909090908,55.38413756304863,5692.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
23,23,488.0,24.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,8.0,6319.375,867.7305137917058,0.0,2.0,92.29166666666669,47.877088254301185,2215.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
24,24,488.0,17.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,9.0,5939.647058823532,1010.5896138626492,0.0,1.0,72.82352941176471,36.332209013005325,1238.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
25,25,488.0,25.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,9.0,5721.92,898.7421265301857,0.0,2.0,62.32,41.615021326439326,1558.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
26,26,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,0.0,,,,1.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
27,27,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,1.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
28,28,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,2.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
29,29,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,3.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
