Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0,488.0,61.0,LC3-WIPI_HEK_dTMEM_NoTreat_1pos_replacementpos9_AiryscanProcessing.czi,0.0,8514.983606557376,1656.5263605086727,57.0,1.0,134.39344262295083,49.938388269454784,8198.0,0.0,1.0,2,2,LC3-WIPI,dTMEM,NoTreat,1pos_replacementpos9
1,1,488.0,53.0,LC3-WIPI_HEK_dTMEM_NoTreat_1pos_replacementpos9_AiryscanProcessing.czi,0.0,7897.339622641509,1724.8302808748842,50.0,2.0,112.01886792452831,56.46322512043969,5937.0,0.0,1.0,2,2,LC3-WIPI,dTMEM,NoTreat,1pos_replacementpos9
2,2,561.0,82.0,LC3-WIPI_HEK_dTMEM_NoTreat_1pos_replacementpos9_AiryscanProcessing.czi,0.0,11023.109756097561,3831.90582117734,57.0,1.0,134.71951219512195,69.70489371031647,11047.0,0.0,1.0,2,2,LC3-WIPI,dTMEM,NoTreat,1pos_replacementpos9
3,3,561.0,67.0,LC3-WIPI_HEK_dTMEM_NoTreat_1pos_replacementpos9_AiryscanProcessing.czi,0.0,11417.731343283582,4350.744504669496,48.0,2.0,135.01492537313428,79.3195479245116,9046.0,0.0,1.0,2,2,LC3-WIPI,dTMEM,NoTreat,1pos_replacementpos9
0,0,488.0,9.0,LC3-WIPI_HEK_WT_NoTreat_10pos_2_AiryscanProcessing.czi,0.0,6518.8888888888905,2031.4463717044346,1.0,1.0,54.22222222222222,26.247751226427845,488.0,0.0,0.0,3,3,LC3-WIPI,WT,NoTreat,10pos_2
1,1,488.0,16.0,LC3-WIPI_HEK_WT_NoTreat_10pos_2_AiryscanProcessing.czi,0.0,6142.125,1124.652294415182,1.0,2.0,60.4375,42.71918967708385,967.0,0.0,0.0,3,3,LC3-WIPI,WT,NoTreat,10pos_2
2,2,488.0,11.0,LC3-WIPI_HEK_WT_NoTreat_10pos_2_AiryscanProcessing.czi,0.0,7273.454545454545,4039.655637888862,3.0,3.0,72.63636363636364,51.60866734817462,799.0,0.0,0.0,3,3,LC3-WIPI,WT,NoTreat,10pos_2
3,3,561.0,64.0,LC3-WIPI_HEK_WT_NoTreat_10pos_2_AiryscanProcessing.czi,0.0,8737.28125,4033.062885339525,1.0,1.0,95.78125,73.05237711113377,6130.0,0.0,0.0,3,3,LC3-WIPI,WT,NoTreat,10pos_2
4,4,561.0,25.0,LC3-WIPI_HEK_WT_NoTreat_10pos_2_AiryscanProcessing.czi,0.0,7046.96,1755.9478086397296,1.0,2.0,64.4,37.17526059088221,1610.0,0.0,0.0,3,3,LC3-WIPI,WT,NoTreat,10pos_2
5,5,561.0,60.0,LC3-WIPI_HEK_WT_NoTreat_10pos_2_AiryscanProcessing.czi,0.0,8512.533333333333,2970.496023560493,3.0,3.0,97.31666666666666,79.60506151752563,5839.0,0.0,0.0,3,3,LC3-WIPI,WT,NoTreat,10pos_2
