file,image,start_slice,end_slice
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,3,16,47
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,4,18,50
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,5,15,45
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,6,18,49
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,7,14,44
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,8,12,43
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,9,14,44
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,10,13,40
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,11,11,48
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,12,11,33
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,13,9,34
